symbol,score,last_close,rsi,sma20,sma50,macd_hist,reasons
TATACONSUM,1.5,1126.800048828125,62.18500116001728,1092.4300109863282,1080.1380126953125,4.669231356029232,SMA20 > SMA50
TATACHEM,1.5,993.5999755859375,63.54024489026222,952.5674987792969,950.8530017089844,6.212369138997015,SMA20 > SMA50
BANKINDIA,1.5,120.47000122070312,66.5380271011189,114.84599876403809,114.15879928588868,0.701673743655204,SMA20 > SMA50
TATASTEEL,1.5,171.47999572753906,66.25557459190213,164.87049942016603,161.84999908447264,0.5945496603205811,SMA20 > SMA50
GPIL,1.5,261.7099914550781,68.26127709405412,246.27250061035156,216.42906646728517,0.5766806370725011,SMA20 > SMA50
SIEMENS,1.5,3325.89990234375,64.60034120816994,3178.3849975585936,3136.626005859375,20.19493978764097,SMA20 > SMA50
RENUKA,1.5,32.310001373291016,62.850308104055294,30.875500106811522,30.521400146484375,0.1162282755278633,SMA20 > SMA50
SCI,1.5,219.58999633789062,64.66668734499383,211.52905960083007,209.4213198852539,1.0892673630728895,SMA20 > SMA50
AADHARHFC,1.5,539.1500244140625,66.52992707705343,514.7375015258789,507.48399963378904,2.7699826907319984,SMA20 > SMA50
APLAPOLLO,1.5,1691.0999755859375,58.00494739766886,1667.8099975585938,1637.8351196289063,2.0204168482958575,SMA20 > SMA50
ABFRL,1.5,92.11000061035156,67.04641462336375,85.59399948120117,79.5797998046875,0.4305319570574939,SMA20 > SMA50
ASTRAL,1.5,1452.4000244140625,55.19569469344272,1430.685009765625,1423.5870361328125,3.4503748941651526,SMA20 > SMA50
AFFLE,1.5,2145.199951171875,66.95560704447844,1990.5599853515625,1959.1980029296874,17.852019786405208,SMA20 > SMA50
YESBANK,1.5,21.170000076293945,69.23868704520766,20.197500133514403,19.702800064086915,0.0962424228226395,SMA20 > SMA50
NATIONALUM,1.5,211.60000610351562,65.43695394977982,201.8672782897949,193.23045959472657,0.5310511491377774,SMA20 > SMA50
NAVA,1.2,717.2999877929688,65.85665943925945,693.0624938964844,643.12046875,-0.4999588487356874,SMA20 > SMA50
UNOMINDA,1.2,1319.699951171875,64.85307488150718,1294.0449951171875,1183.2780053710937,-4.241801883228597,SMA20 > SMA50
VOLTAS,1.2,1419.9000244140625,58.99186632458302,1400.8600158691406,1363.482001953125,-0.7202116756924148,SMA20 > SMA50
FORTIS,1.2,953.9500122070312,57.30904188470449,945.1775054931641,897.1982592773437,-2.60405986681673,SMA20 > SMA50
ABCAPITAL,1.2,289.1499938964844,56.81262847239364,284.38500213623047,276.13100158691407,-0.09424108022138267,SMA20 > SMA50
VMM,1.2,152.35000610351562,57.157918732093925,150.44000091552735,145.11919952392577,-0.596835333175675,SMA20 > SMA50
ESCORTS,1.2,3688.10009765625,55.18475139830623,3653.6450073242186,3515.4980078125,-4.825851041572477,SMA20 > SMA50
NYKAA,1.2,243.6199951171875,63.51624055995135,238.21799850463867,224.047998046875,-0.2738699791208514,SMA20 > SMA50
ETERNAL,1.2,336.54998779296875,67.26335702123208,324.65999908447264,308.0479986572266,-0.08382371446756309,SMA20 > SMA50
HBLENGINE,1.2,838.3499755859375,56.3015440025535,841.7999816894531,719.7495751953124,-7.680261817723853,SMA20 > SMA50
APOLLOTYRE,1.2,480.6499938964844,57.81649620912887,475.81499633789065,461.2969989013672,-0.30619981201131097,SMA20 > SMA50
ASTERDM,1.2,650.5499877929688,63.848930133614104,621.8550262451172,607.2315161132813,-0.5656286707104918,SMA20 > SMA50
OLAELEC,1.2,57.66999816894531,55.3505215950651,58.35949974060058,48.757999877929684,-0.8263660440184775,SMA20 > SMA50
AIIL,1.2,3160.39990234375,56.04554105676934,3151.9650024414063,2953.14001953125,-5.465943939797157,SMA20 > SMA50
DMART,1.2,4775.2998046875,62.165599013785446,4716.06494140625,4420.5359716796875,-14.006154536332346,SMA20 > SMA50
DALBHARAT,1.2,2409.89990234375,57.37810168093001,2403.664990234375,2311.5699951171873,-3.2200149547586108,SMA20 > SMA50
SUMICHEM,1.2,601.7999877929688,61.00133928955342,570.7450012207031,584.9376440429687,1.8968796199032312,MACD hist turned +
